evtime	station	ptime	stime	pscore	sscore	evsource
2018-05-26 19:51:47.000000	COP2	1527364310.56000000	1527364311.77000000	0.00000000	0.00000000	MANUAL
2018-05-26 19:51:47.000000	COPA	1527364311.88800000	1527364314.20900000	0.00000000	0.00000000	MANUAL
2018-05-26 19:51:47.000000	MANZ	1527364318.04900000	1527364324.68200000	0.00000000	0.00000000	MANUAL
2018-05-26 19:51:47.000000	TOL1	1527364316.70100000	1527364322.44800000	0.00000000	0.00000000	MANUAL
2018-06-04 08:45:04.000000	COP2	1528101908.63800000	1528101911.06700000	0.00000000	0.00000000	MANUAL
2018-06-04 08:45:04.000000	COPA	1528101910.18600000	1528101913.89100000	0.00000000	0.00000000	MANUAL
2018-06-04 08:45:04.000000	TOL1	1528101911.29700000	1528101915.53800000	0.00000000	0.00000000	MANUAL
2018-06-07 10:03:29.000000	COP2	1528365814.79500000	1528365818.45600000	0.00000000	0.00000000	MANUAL
2018-06-07 10:03:29.000000	COPA	1528365816.51600000	1528365821.06700000	0.00000000	0.00000000	MANUAL
2018-06-07 10:03:29.000000	LONQ	1528365815.14900000	1528365818.84200000	0.00000000	0.00000000	MANUAL
2018-06-07 10:03:29.000000	TOL1	1528365815.72000000	1528365819.64300000	0.00000000	0.00000000	MANUAL
2018-06-12 18:18:20.000000	COP2	1528827506.94200000	1528827511.55400000	0.00000000	0.00000000	MANUAL
2018-06-12 18:18:20.000000	COPA	1528827508.57000000	1528827514.18800000	0.00000000	0.00000000	MANUAL
2018-06-12 18:18:20.000000	LONQ	1528827504.56000000	1528827507.20500000	0.00000000	0.00000000	MANUAL
2018-06-12 18:18:20.000000	MANZ	1528827505.90300000	1528827509.48400000	0.00000000	0.00000000	MANUAL
2018-06-12 18:18:20.000000	TOL1	1528827504.48900000	1528827506.92100000	0.00000000	0.00000000	MANUAL
2018-06-20 07:04:16.000000	COP2	1529478261.95600000	1529478265.48900000	0.00000000	0.00000000	MANUAL
2018-06-20 07:04:16.000000	COPA	1529478263.51100000	1529478268.14200000	0.00000000	0.00000000	MANUAL
2018-06-20 07:04:16.000000	LONQ	1529478262.23500000	1529478265.77700000	0.00000000	0.00000000	MANUAL
2018-06-20 07:04:16.000000	MANZ	1529478263.96000000	1529478268.73800000	0.00000000	0.00000000	MANUAL
2018-06-20 07:04:16.000000	TOL1	1529478262.75600000	1529478266.68500000	0.00000000	0.00000000	MANUAL
2018-06-30 16:25:42.000000	COPA	1530375952.66500000	1530375960.02400000	0.00000000	0.00000000	MANUAL
2018-06-30 16:25:42.000000	LONQ	1530375944.03900000	1530375944.83400000	0.00000000	0.00000000	MANUAL
2018-06-30 16:25:42.000000	MANZ	1530375945.47200000	1530375947.48100000	0.00000000	0.00000000	MANUAL
2018-06-30 16:25:42.000000	TOL1	1530375944.49500000	1530375945.84800000	0.00000000	0.00000000	MANUAL
2019-01-01 09:45:48.000000	COP2	1546335957.90100000	1546335964.60900000	0.00000000	0.00000000	MANUAL
2019-01-01 09:45:48.000000	COPA	1546335959.42400000	1546335967.33500000	0.00000000	0.00000000	MANUAL
