 _____________________________________ 
< HOLA, ESTO ESTA EN DESARROLLO AUN!! >
 ------------------------------------- 
        \   ^__^
         \  (oo)\_______
            (__)\       )\/\
                ||----w |
                ||     ||
Conecting to SQL database...
 Database: BetaGema     (IP 192.168.1.19:3306)

[89] 2019-02-22 07:28:03  -37.7538 -71.0569  23.1   M 1.6    7 ph  GAP 342  RMS 0.2 s  ERR 17.0 km xyz( 20.7 km, 15.5 km, 14.1 km) [MANUAL]
[90] 2019-02-22 07:28:04  -37.7482 -71.1895  10.6   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[91] 2019-02-22 11:58:19  -37.8136 -71.0023  12.2   M 1.9    8 ph  GAP 340  RMS 0.3 s  ERR 13.8 km xyz( 12.1 km, 14.4 km, 14.7 km) [MANUAL]
[92] 2019-02-22 11:58:20  -37.7586 -71.1682  14.2   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[93] 2019-02-22 12:00:11  -37.7557 -71.0109  20.4   M 1.4    7 ph  GAP 344  RMS 0.2 s  ERR 14.3 km xyz( 16.4 km, 12.6 km, 13.7 km) [MANUAL]
[94] 2019-02-22 12:00:12  -37.7858 -71.0539  17.6   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[95] 2019-02-22 12:29:33  -37.7736 -71.0394  19.9   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
[96] 2019-02-22 12:29:33  -37.7302 -71.0598  20.4   M 2.4   10 ph  GAP 341  RMS 0.2 s  ERR  9.7 km xyz(  9.1 km,  9.0 km, 11.0 km) [MANUAL]
[97] 2019-02-22 13:29:25  -37.7367 -71.0570  20.0   M 2.3   10 ph  GAP 340  RMS 0.3 s  ERR 12.3 km xyz( 12.6 km, 10.8 km, 13.4 km) [MANUAL]
[98] 2019-02-22 13:29:26  -37.7807 -71.0304  21.0   M 0.0    0 ph  GAP   0  RMS 0.0 s  ERR  0.0 km xyz(  0.0 km,  0.0 km,  0.0 km) [amulen]
